맴버,아이디,접속수,아이디어합계,Text,Image,Draw,Editor,File,댓글,히치하이킹,평가하기,별표합산
p*****,p*****,1,17,16,1,0,0,0,0,4,6,18
관****,o*********,0,0,0,0,0,0,0,0,0,0,0
박**,d******,0,6,6,0,0,0,0,0,0,1,23
차**,d******,0,6,6,0,0,0,0,0,1,6,16
김**,d******,0,6,6,0,0,0,0,0,2,6,9
신**,d******,0,3,3,0,0,0,0,0,1,0,2
강**,d******,0,8,8,0,0,0,0,0,1,4,24
전**,a*******,0,0,0,0,0,0,0,0,0,4,0
서**,d******,0,2,2,0,0,0,0,0,0,0,1
박**,d******,0,3,3,0,0,0,0,0,0,6,8
선****,d******,0,0,0,0,0,0,0,0,0,3,0
김**,d******,0,6,6,0,0,0,0,0,0,4,16
이**,d******,0,7,7,0,0,0,0,0,1,3,0
김**,d******,0,7,7,0,0,0,0,0,1,0,6
곽**,d******,0,6,6,0,0,0,0,0,1,3,3
김**,d******,0,5,5,0,0,0,0,0,1,0,6
박**,d******,0,3,3,0,0,0,0,0,1,0,0
이**,d******,0,6,6,0,0,0,0,0,1,3,10
김**,d******,0,1,1,0,0,0,0,0,0,3,0
노**,d******,0,5,5,0,0,0,0,0,1,1,21
신**,d******,0,3,3,0,0,0,0,0,1,3,0
김**,d******,0,5,5,0,0,0,0,0,1,7,6
설**,d******,0,4,4,0,0,0,0,0,1,3,3
성**,d******,0,9,9,0,0,0,0,0,3,6,11
장**,d******,0,4,4,0,0,0,0,0,1,3,7
최**,d******,0,8,8,0,0,0,0,0,1,5,16
학***,d******,0,0,0,0,0,0,0,0,0,0,0
진***,y*******,2,0,0,0,0,0,0,0,0,0,0
김**,l*******,13,0,0,0,0,0,0,0,0,0,0